epoch,accuracy,loss,val_accuracy,val_loss
0,0.5413534,0.714905922126053,0.6507936716079712,0.6503184447212825
1,0.6165413,0.6547514222618332,0.7777777910232544,0.6099521688052586
2,0.6165413,0.6465868837851331,0.7460317611694336,0.5805835903636993
3,0.6315789,0.6562247486939108,0.7777777910232544,0.5482622924305144
4,0.7067669,0.5618461661769035,0.7777777910232544,0.5218555146739596
5,0.7593985,0.5326783482293437,0.8571428656578064,0.49513877573467435
6,0.7819549,0.533280058462817,0.8253968358039856,0.4708064619510893
7,0.7969925,0.5175594808463764,0.8571428656578064,0.4489482934512789
8,0.7969925,0.4803439656594642,0.8571428656578064,0.4326216592675164
9,0.8120301,0.4618645554646513,0.8571428656578064,0.42345073961076285
10,0.80451125,0.42998544076331574,0.8730158805847168,0.4153602785534329
11,0.87218046,0.3746000954083034,0.8571428656578064,0.40066119082390317
12,0.88721806,0.37952006759500145,0.8571428656578064,0.38927724957466125
13,0.87969923,0.3789210429317073,0.8571428656578064,0.37986502051353455
14,0.90225565,0.3367891278033866,0.8571428656578064,0.3746222054201459
15,0.87969923,0.3512900907518272,0.8571428656578064,0.36949517566060264
16,0.87218046,0.3311726022931866,0.8571428656578064,0.36632243934131803
17,0.8947368,0.3102036005348191,0.8571428656578064,0.36715405706375365
18,0.91729325,0.2918048890909754,0.8571428656578064,0.3670268654823303
19,0.93233085,0.29629718473083094,0.8571428656578064,0.3657246132691701
20,0.93233085,0.2838467820022339,0.8571428656578064,0.3663598180763305
21,0.8947368,0.2592245725760783,0.8571428656578064,0.3714765201485346
22,0.924812,0.2640138820822078,0.8571428656578064,0.38020946203716216
23,0.87969923,0.2908601034852795,0.8571428656578064,0.3905587967426058
24,0.91729325,0.2398957157493534,0.8571428656578064,0.4004892941032137
