epoch,accuracy,loss,val_accuracy,val_loss
0,0.42857143,0.7958271803712487,0.4761904776096344,0.699584668590909
1,0.5488722,0.722956527444653,0.6190476417541504,0.6677232498214358
2,0.62406015,0.6242258907260751,0.6666666865348816,0.6384629465284801
3,0.57894737,0.667347780743936,0.761904776096344,0.6066708616794102
4,0.7067669,0.6149162322955024,0.7460317611694336,0.577295643469644
5,0.6616541,0.5790995435607165,0.7936508059501648,0.5523021646908352
6,0.7368421,0.5612340470902005,0.7936508059501648,0.5307696745509193
7,0.7894737,0.5371864650930677,0.8253968358039856,0.5110870916692037
8,0.80451125,0.5236193474970365,0.841269850730896,0.49322336722934057
9,0.7894737,0.49572645497501344,0.841269850730896,0.4785890077787732
10,0.84962404,0.48420707108382893,0.8095238208770752,0.47708723280164933
11,0.7819549,0.4724430177444802,0.8095238208770752,0.4757151598968203
12,0.8120301,0.4410141751282197,0.841269850730896,0.44545379990623113
13,0.84962404,0.42756392229768564,0.8730158805847168,0.4261011292064001
14,0.86466163,0.4109718073579602,0.8571428656578064,0.4172018544068412
15,0.87969923,0.41170141571446467,0.8730158805847168,0.4094493469548604
16,0.87218046,0.394564064597725,0.841269850730896,0.4188499528737295
17,0.87218046,0.358885389521606,0.841269850730896,0.42158426959363243
18,0.86466163,0.3380894489530334,0.841269850730896,0.40293554985334
19,0.88721806,0.32926239151703685,0.8888888955116272,0.3907801267646608
20,0.93233085,0.2915762584460409,0.8730158805847168,0.3843358774033804
21,0.88721806,0.3036008385339178,0.8730158805847168,0.3848939741414691
22,0.9097744,0.31464350145114095,0.8888888955116272,0.3884841530095963
23,0.9097744,0.30546209675476965,0.8888888955116272,0.3911096751689911
24,0.91729325,0.2778091644658182,0.8571428656578064,0.40479522281222874
25,0.93233085,0.24490920986448014,0.841269850730896,0.4113678059407643
